tanggal,stasiun,curah_hujan,suhu,kelembapan,kecepatan_angin,arah_angin,gelombang_signifikan,arus_laut,arah_arus_laut,latitude,longitude
2024-01-14,Stasiun Meteorologi Tuban,3.9,29.2,76.0,5.0,287,0.08816,6.0,125,-6.8229,111.99177
2024-01-14,Stasiun Meteorologi Banyuwangi,,29.5,69.0,4.0,187,0.08211,5.0,108,-8.214848016,114.3553195
2024-01-14,Stasiun Geofisika Pasuruan,,24.3,84.0,1.0,173,0.00015,1.0,126,-7.639341409,112.6882624
2024-01-14,Stasiun Meteorologi Dhoho,0.0,31.2,60.0,0.0,280,0.0,15.0,87,-7.75487,111.9469
2024-01-14,Stasiun Klimatologi Jawa Timur,0.0,26.8,71.0,0.0,163,0.0,1.0,126,-7.9008,112.5979
2024-01-14,Stasiun Geofisika Malang,0.2,29.1,70.0,1.0,258,0.0,7.0,117,-8.15,112.45
2024-01-14,Stasiun Geofisika Nganjuk,,25.2,83.0,0.0,358,0.0,7.0,122,-7.73486,111.76682
2024-01-14,Stasiun Meteorologi Sangkapura,58.8,29.0,82.0,8.0,281,0.27413,7.0,98,-5.8511,112.6578
2024-01-15,Stasiun Meteorologi Juanda,,27.7,85.0,4.6422,287,0.0,3.62109,20,-7.37235119,112.7816993
2024-01-15,Stasiun Meteorologi Perak 1,0.0,28.9,78.0,4.80202,289,0.0,1.47769,66,-7.223150593,112.7240614
2024-01-15,Stasiun Meteorologi Maritim Tanjung Perak,0.0,29.2,77.0,4.91128,289,0.0,1.47769,66,-7.204320905,112.7351022
2024-01-15,Stasiun Meteorologi Trunojoyo,0.0,28.1,88.0,8.0,298,0.02974,4.0,116,-7.03976,113.914
2024-01-15,Stasiun Meteorologi Tuban,0.0,28.4,82.0,6.0,272,0.25685,8.0,131,-6.8229,111.99177
2024-01-15,Stasiun Meteorologi Banyuwangi,0.0,28.6,74.0,2.0,198,0.09196,7.0,77,-8.214848016,114.3553195
2024-01-15,Stasiun Geofisika Pasuruan,,,97.0,2.0,274,7e-05,2.0,69,-7.639341409,112.6882624
2024-01-15,Stasiun Meteorologi Dhoho,0.0,29.2,74.0,1.0,176,0.0,16.0,85,-7.75487,111.9469
2024-01-15,Stasiun Klimatologi Jawa Timur,0.0,25.9,80.0,1.0,229,0.0,2.0,69,-7.9008,112.5979
2024-01-15,Stasiun Geofisika Malang,0.0,28.9,75.0,1.0,222,0.0,7.0,107,-8.15,112.45
2024-01-15,Stasiun Geofisika Nganjuk,,23.3,88.0,1.0,157,0.0,6.0,115,-7.73486,111.76682
2024-01-15,Stasiun Meteorologi Sangkapura,8.0,28.0,87.0,10.0,285,0.37104,10.0,97,-5.8511,112.6578
2024-01-16,Stasiun Meteorologi Juanda,18.3,28.9,81.0,1.41408,150,0.0,2.30074,48,-7.37235119,112.7816993
2024-01-16,Stasiun Meteorologi Perak 1,0.1,29.3,78.0,0.75453,239,0.0,1.72125,82,-7.223150593,112.7240614
2024-01-16,Stasiun Meteorologi Maritim Tanjung Perak,0.1,29.5,77.0,0.8061,245,0.0,1.72125,82,-7.204320905,112.7351022
2024-01-16,Stasiun Meteorologi Trunojoyo,8.7,26.8,90.0,3.0,352,0.02339,4.0,116,-7.03976,113.914
2024-01-16,Stasiun Meteorologi Tuban,2.6,28.7,82.0,3.0,276,0.12298,7.0,129,-6.8229,111.99177
2024-01-16,Stasiun Meteorologi Banyuwangi,0.1,28.6,74.0,1.0,178,0.08157,5.0,76,-8.214848016,114.3553195
2024-01-16,Stasiun Geofisika Pasuruan,27.8,22.3,94.0,2.0,148,0.00015,0.0,153,-7.639341409,112.6882624
2024-01-16,Stasiun Meteorologi Dhoho,42.5,31.0,67.0,2.0,175,0.0,14.0,72,-7.75487,111.9469
2024-01-16,Stasiun Klimatologi Jawa Timur,19.0,26.6,76.0,2.0,154,0.0,0.0,153,-7.9008,112.5979
2024-01-16,Stasiun Geofisika Malang,1.0,29.5,71.0,2.0,183,0.0,6.0,109,-8.15,112.45
2024-01-16,Stasiun Geofisika Nganjuk,56.5,24.6,87.0,1.0,177,0.0,6.0,100,-7.73486,111.76682
2024-01-16,Stasiun Meteorologi Sangkapura,8.5,27.5,90.0,4.0,308,0.19263,8.0,97,-5.8511,112.6578
2024-01-17,Stasiun Meteorologi Juanda,17.2,26.4,91.0,3.97287,252,0.0,2.18032,127,-7.37235119,112.7816993
2024-01-17,Stasiun Meteorologi Perak 1,75.4,27.5,85.0,4.14465,247,0.0,1.24882,106,-7.223150593,112.7240614
2024-01-17,Stasiun Meteorologi Maritim Tanjung Perak,30.4,28.1,84.0,4.06025,250,0.0,1.24882,106,-7.204320905,112.7351022
2024-01-17,Stasiun Meteorologi Trunojoyo,2.2,27.1,90.0,4.0,313,0.01797,3.0,112,-7.03976,113.914
2024-01-17,Stasiun Meteorologi Tuban,,27.0,88.0,5.0,202,0.14364,7.0,126,-6.8229,111.99177
2024-01-17,Stasiun Meteorologi Banyuwangi,0.0,28.2,74.0,1.0,339,0.06188,5.0,133,-8.214848016,114.3553195
2024-01-17,Stasiun Geofisika Pasuruan,27.0,21.3,94.0,2.0,232,4e-05,1.0,86,-7.639341409,112.6882624
2024-01-17,Stasiun Meteorologi Dhoho,0.1,28.1,79.0,4.0,105,0.0,15.0,73,-7.75487,111.9469
2024-01-17,Stasiun Klimatologi Jawa Timur,0.0,24.9,88.0,1.0,160,0.0,1.0,86,-7.9008,112.5979
2024-01-17,Stasiun Geofisika Malang,0.1,26.7,85.0,1.0,357,0.0,6.0,107,-8.15,112.45
2024-01-17,Stasiun Geofisika Nganjuk,,24.0,86.0,5.0,99,0.0,7.0,107,-7.73486,111.76682
2024-01-17,Stasiun Meteorologi Sangkapura,11.5,26.5,94.0,7.0,300,0.2343,11.0,95,-5.8511,112.6578
2024-01-18,Stasiun Meteorologi Juanda,23.6,27.2,88.0,1.51359,154,0.0,1.953,90,-7.37235119,112.7816993
2024-01-18,Stasiun Meteorologi Perak 1,1.4,27.4,85.0,1.35154,197,0.0,1.4631,98,-7.223150593,112.7240614
2024-01-18,Stasiun Meteorologi Maritim Tanjung Perak,13.0,28.2,82.0,1.52463,201,0.0,1.4631,98,-7.204320905,112.7351022
2024-01-18,Stasiun Meteorologi Trunojoyo,2.2,28.1,85.0,2.0,228,0.01797,3.0,112,-7.03976,113.914
2024-01-18,Stasiun Meteorologi Tuban,16.7,27.9,84.0,4.0,230,0.075,6.0,125,-6.8229,111.99177
2024-01-18,Stasiun Meteorologi Banyuwangi,0.1,29.2,72.0,3.0,200,0.04185,11.0,101,-8.214848016,114.3553195
2024-01-18,Stasiun Geofisika Pasuruan,23.6,23.1,93.0,1.0,160,0.0,1.0,63,-7.639341409,112.6882624
